id,0-4_rate,10-14_rate,15-19_rate,20-24_rate,25-29_rate,30-34_rate,35-39_rate,40-44_rate,45-49_rate,5-9_rate,50-54_rate,55-59_rate,60-64_rate,65-69_rate,70-74_rate,75-79_rate,80-84_rate,85+_rate,ASIAN_FEMALE_rate,ASIAN_MALE_rate,Amish,Area in square miles - Land area,Area in square miles - Total area,Area in square miles - Water area,BLACK_FEMALE_rate,BLACK_MALE_rate,BLACK_rate,Buddhist,Catholic,Christian Generic,Deep_Pov_All,Deep_Pov_Children,Democrat,Density per square mile of land area - Housing units,Density per square mile of land area - Population,Eastern Orthodox,HAWAIIAN_PACIFIC_FEMALE_rate,HAWAIIAN_PACIFIC_MALE_rate,HAWAIIAN_PACIFIC_rate,Hindu,Housing units,Jewish,MULTI_FEMALE_rate,MULTI_MALE_rate,MULTI_rate,Mainline Christian,MedHHInc2014,Mormon,Muslim,NATIVE_AMERICAN_FEMALE_rate,NATIVE_AMERICAN_MALE_rate,NATIVE_AMERICAN_rate,Non-Catholic Christian,Other,Other Christian,Other Misc,POP_ESTIMATE_2015,Pentecostal Charismatic,PerCapitaInc,"Percent of adults completing some college or associate's degree, 2010-2014","Percent of adults completing some college or associate's degree, 2011-2015","Percent of adults with a bachelor's degree or higher, 2010-2014","Percent of adults with a bachelor's degree or higher, 2011-2015","Percent of adults with a high school diploma only, 2010-2014","Percent of adults with a high school diploma only, 2011-2015","Percent of adults with less than a high school diploma, 2010-2014","Percent of adults with less than a high school diploma, 2011-2015",Population,PovertyAllAgesPct2014,PovertyUnder18Pct2014,Protestant Denomination,TOT_FEMALE_rate,TOT_MALE_rate,Unemployment_rate_2015,WHITE_FEMALE_rate,WHITE_MALE_rate,WHITE_rate,Zoroastrian,age_total_pop,voter_turnout_rate,votes
35031,0.083863482,0.090746728,0.076263232,0.075520154,0.077918861,0.065482088,0.060032852,0.056030662,0.055600459,0.090746728,0.061492934,0.057894874,0.047856808,0.036006675,0.025864317,0.019658966,0.013414507,0.010872399,0.004888669,0.004341138,0,5449.81,5455.28,5.47,0.005175471,0.005775147,0,0,369,131,19.16614896,25.7163518,1,4.7,13.1,0,0.000312875,0.000365021,0,0,25813,0,0.013231997,0.012710539,0,16,29497,131,4,0.406672055,0.368201491,0,41,138,23,17,76708,31,12800,28.61065089,0,11.38224852,0,32.77159763,0,27.23550296,0,0,35.8,42.9,2,0.519880586,0.480119414,9.7,0.08959952,0.088726078,0,0,76708,0.273230954,0
35033,0.045256745,0.047867711,0.059617058,0.055047868,0.045256745,0.051348999,0.047867711,0.04743255,0.058746736,0.047867711,0.075500435,0.083768494,0.089860748,0.08181027,0.053089643,0.046562228,0.030896432,0.023281114,0.002393386,0.002175805,0,1931.27,1933.62,2.35,0.005439513,0.005004352,0,2,1145,75,4.108428632,5.017921147,1,1.7,2.5,0,0.000217581,0,0,0,3232,0,0.007180157,0.009355962,0,40,27627,0,0,0.013925152,0.01740644,0,9,2,0,0,4596,22,18950,31.6519546,0,8.007566204,0,40.57377049,0,19.7667087,0,0,24.2,35.3,3,0.47824195,0.52175805,9.7,0.449086162,0.487815492,0,0,4596,0.529590949,0
35035,0.071160001,0.067198036,0.059180883,0.085252167,0.07709518,0.066359032,0.058901215,0.050837451,0.050868525,0.067198036,0.062536901,0.064525652,0.056586184,0.053758429,0.040629564,0.032146298,0.022140393,0.019048507,0.009229048,0.00598179,0,6613.21,6627.5,14.29,0.018629005,0.023414437,0,0,371,193,9.415444521,16.87093547,0,4.7,9.6,0,0.001553712,0.001864454,0,0,30992,0,0.012041267,0.015272987,0,59,41736,22,0,0.039013704,0.036481153,0,51,26,3,28,64362,51,19803,37.19230586,0,17.23325239,0,30.08141694,0,15.49302481,0,0,20.2,29.7,2,0.486731301,0.513268699,6.2,0.406264566,0.430253877,0,0,64362,0.307495106,0
35037,0.056534595,0.055706682,0.05523359,0.050502661,0.043642815,0.053577765,0.050147842,0.048137197,0.056061502,0.055706682,0.0710822,0.07699586,0.079952691,0.07699586,0.063276168,0.043287995,0.031460674,0.025547014,0.005795387,0.00626848,0,2874.35,2881.58,7.23,0.00958013,0.010053223,0,0,776,547,7.580774061,12.35418876,0,1.9,3.1,0,0.000709639,0.000473093,0,0,5569,0,0.011827321,0.011472501,0,86,29069,29,0,0.013837966,0.011945594,0,389,29,10,13,8455,43,16719,31.69505272,0,13.81995134,0,35.91240876,0,18.57258719,0,0,23.9,36,4,0.512596097,0.487403903,7.2,0.470845653,0.447191011,0,0,8455,0.421880544,0
35039,0.069681997,0.064411504,0.064411504,0.059369061,0.0593944,0.055821614,0.05660712,0.057747371,0.058583555,0.064411504,0.069960725,0.076447485,0.070467503,0.060179906,0.042620043,0.030457367,0.020980616,0.017889269,0.003572786,0.002381857,0,5860.84,5896.15,35.31,0.00463702,0.004434309,0,0,1058,91,11.38811479,17.49309887,1,3.4,6.9,0,0.000912201,0.001190929,0,0,19638,0,0.00950209,0.008716584,0,17,34902,19,7,0.096465222,0.088508805,0,9,27,0,15,39465,42,19483,32.53581395,0,15.54976744,0,31.15162791,0,20.7627907,0,0,24.1,30.9,6,0.507867731,0.492132269,8,0.392778411,0.386899785,0,0,39465,0.374889142,0
35041,0.079968619,0.068514644,0.083525105,0.133368201,0.071548117,0.060617155,0.052615063,0.053085774,0.047018828,0.068514644,0.054445607,0.054811715,0.048169456,0.04042887,0.031485356,0.024215481,0.018148536,0.017416318,0.008158996,0.0083159,0,2447.43,2454.65,7.22,0.009048117,0.016108787,0,0,337,343,12.69462981,15.38307662,0,3.3,8.1,0,0.001307531,0.00125523,0,0,8163,0,0.010617155,0.012552301,0,99,36108,28,0,0.011924686,0.010460251,0,198,30,0,33,19120,11,17668,32.39600071,0,22.79950009,0,25.40617747,0,19.39832173,0,0,24,28.5,1,0.496705021,0.503294979,5.5,0.455648536,0.45460251,0,0,19120,0.309205021,0
35043,0.056279323,0.06913497,0.068302796,0.056924975,0.058998235,0.06370432,0.061674104,0.063295407,0.062276712,0.06913497,0.0707491,0.070799317,0.066286928,0.05926367,0.041630199,0.025180424,0.016141297,0.01642108,0.009691952,0.006808041,0,3710.65,3715.94,5.29,0.01210956,0.013422385,0,0,608,88,7.085728754,8.490621165,1,14.1,35.5,0,0.000925434,0.000961304,0,0,52287,0,0.013931733,0.014433907,0,18,56142,31,0,0.071279969,0.066911058,0,24,33,4,20,139394,7,26916,35.84977281,0,28.63873352,0,26.40810084,0,9.103392839,0,0,12.6,16.3,10,0.508759344,0.491240656,6.7,0.400820695,0.388703961,0,0,139394,0.438655896,0
35045,0.074206018,0.075368251,0.065472431,0.065472431,0.069422337,0.069936077,0.063922787,0.056208259,0.054633349,0.075368251,0.065657714,0.06820115,0.058793805,0.047297809,0.033342598,0.02460901,0.017652459,0.01735769,0.003562495,0.002922425,0,5513.07,5538.42,25.36,0.004497334,0.00533111,0,0,192,193,10.55163694,15.8323599,0,8.9,23.6,0,0.000370567,0.000496897,0,0,49341,0,0.013525691,0.013593067,0,56,47520,112,0,0.190126077,0.185923512,0,67,115,8,34,118737,23,21992,34.93716744,0,15.20057361,0,32.22511541,0,17.63714354,0,0,21,29.4,4,0.504046759,0.495953241,7,0.291964594,0.287686231,0,0,118737,0.387200283,0
35047,0.052418922,0.051703794,0.073372189,0.072084957,0.059677477,0.052991025,0.049701434,0.054850359,0.057889656,0.051703794,0.077841742,0.077198126,0.074516394,0.066542711,0.051274717,0.034218901,0.021954446,0.019236958,0.008688812,0.005327708,1,4715.82,4735.66,19.84,0.009546966,0.011084492,0,0,1475,65,14.92602421,17.4807628,1,3.3,6.2,0,0.000893911,0.001108449,0,0,15595,0,0.009797261,0.009368184,0,22,32964,8,0,0.016769764,0.014588622,0,25,9,0,8,27967,6,18355,32.5377397,0,19.85414117,0,29.93166055,0,17.67645859,0,0,25.5,33.6,1,0.508098831,0.491901169,7.7,0.462402117,0.450423714,0,0,27967,0.382486502,0
35049,0.047025275,0.054752969,0.054726067,0.054793323,0.054894207,0.056649584,0.057718951,0.058256998,0.062245269,0.054752969,0.071392061,0.078931439,0.084143766,0.081339198,0.053582718,0.03300916,0.020412144,0.020486125,0.008682727,0.006375852,0,1909.41,1910.87,1.46,0.004997108,0.007001332,0,6,966,83,6.873139686,10.61496413,1,37.3,75.5,1,0.001076093,0.00092813,0,1,71267,7,0.010646598,0.00998749,0,32,52628,15,3,0.021077976,0.020593734,0,15,38,6,20,148686,8,32454,26.47588023,0,39.87859619,0,21.23146272,0,12.41406087,0,0,14.2,21,4,0.51379417,0.48620583,5.4,0.467313668,0.44131929,0,0,148686,0.473319613,0
